spot_id,name,category,description,image_url,homepage,latitude,longitude,open_hours,duration_hours,popularity
1,Matsue Castle,Historical,One of Japan's few remaining original feudal castles.,NULL,https://www.kankou-shimane.com/en/destinations/9289,35.47536938,133.0506568,"Open 7 days a week, Castle Grounds: Apr.-Sept. 7:00-19:30, Oct.-Mar. 8:30-17:00, Castle Tower: Apr.-Sept. 7:00-19:30, Oct.-Mar. 8:30-17:00",1,3
2,Horikawa Sightseeing Boat,Natural,"This boat tour circles the castle moats, offering unique views and a cozy kotatsu experience under low bridges in winter.",NULL,https://www.matsue-horikawameguri.jp/language/en/,35.47841846,133.0467554,"Open 7 days a week, 1 Mar-30 Sep: 9:00-17:00, 1 Oct-End of Feb: 9:00-16:00",0.67,3
3,Shiomi Nawate Street & Samurai Residence,Historical,"Shiomi Nawate, a 500m street by the castle moat, features traditional houses, a samurai residence open to visitors, Lafcadio Hearn's home, a museum, and shops.",NULL,https://www.matsue-bukeyashiki.jp/en/index.html,35.4787592,133.0509933,"Open 7 days a week, Apr-Sep: 8:30-18:30 (Reception until 18:00), Oct-Mar: 8:30-17:00 (Reception until 16:30)",1.25,3
4,Lafcadio Hearn’s Former Residence & Memorial Museum,Historical,Lafcadio Hearn's preserved samurai house and museum in Matsue celebrate the life and works of this pioneering writer who introduced Japan to the West.,NULL,https://www.hearn-museum-matsue.jp/english.html,35.47936123,133.0499291,"Open 7 days a week, Apr-Sep: 8:30-18:30 (Reception until 18:10), Oct-Mar: 8:30-17:00 (Reception until 16:40)",0.67,3
5,Meimei-an Tea House,Cultural,"Meimei-an Tea House, with its iconic thatched roof, offers tea and wagashi near Shiomi Nawate, overlooking Matsue Castle.",NULL,https://www.meimeian.jp/meimeian/en.html,35.47912534,133.0526864,"Open 7 days a week, Apr-Sep: 8:30-18:30 (Reception until 18:10), Oct-Mar: 8:30-17:00 (Reception until 16:40)",0.67,3
6,Matsue History Museum & Horan-enya Memorial Hall,Historical,"The museum, designed like a samurai residence, explores 400 years of Matsue's history with exhibits, models, and a tea room offering garden views and wagashi demonstrations, while the nearby Horan-enya Memorial Hall celebrates Japan's ten-year boat festival.",NULL,https://matsu-reki.jp/,35.47560399,133.0542082,"9:00-17:00 (Reception until 16:30), Closed the Monday or the day after if it is a national holiday, 29 Dec-1 Jan",1,3
7,Gessho-ji Temple,Cultural,"The 'Temple of Moonlight,' Gessho-ji, showcases Edo-era craftsmanship through the Matsudaira clan's gates and graves, a legendary tortoise sculpture, and stunning hydrangeas in June.",NULL,https://www.gesshoji-matsue.com/,35.47191375,133.0405083,"Apr-Nov: 9:00-17:00, Nov-Mar: 9:30-16:30",0.67,2
8,Kyomise Shopping District,Cultural,"The Kyomise Shopping District, near Ohashi Bridge, offers restaurants, cafes, souvenir shops, and magatama stores. Look for lucky heart-shaped paving stones and Lafcadio Hearn carvings, with a rest area featuring a giant red umbrella near the Horikawa Boat pier.",NULL,https://www.visit-matsue.com/discover/city_centre/north_side/shinjiko_onsen_and_kyomise_area/kyomise,35.46923326,133.0544332,Local business operating hours,1,2
9,Matsue Shinjiko Onsen,Natural,"Matsue Shinjiko Onsen, on Lake Shinji's northern shore, features onsen hotels, free foot baths, scenic walks, and train access to attractions like Matsue Vogel Park and Izumo Taisha, with views of Mount Daisen on clear days.",NULL,https://www.visit-matsue.com/discover/city_centre/north_side/shinjiko_onsen_and_kyomise_area/shinjiko_onsen,35.46732925,133.0461692,Footbath open 24/7,0.67,2
10,Teramachi Temple Area,Cultural,"Teramachi, Matsue's historic temple town, features around 30 temples, narrow streets for strolling, and a rich atmosphere. Nearby, the STIC Building offers dining and events, while Station Street hosts the Matsue Drum Display, celebrating the city's iconic Do Drum Parade.",NULL,https://www.visit-matsue.com/discover/city_centre/south_side/station_area/teramachi,35.46363003,133.0577239,Temples have individual operating hours,1,2
